subset,filename,mask,conf,occluded_lrt,disc_bg_patches,disc_fg_patches,merged_trees
coconut_tree,1269436,0,0.21,1,0,0,0
coconut_tree,1269637,0,0.55,1,1,0,0
coconut_tree,1270736,0,0.41,1,0,1,0
coconut_tree,1270736,1,0.07,0,0,0,0
coconut_tree,1270736,2,0.05,1,0,0,0
coconut_tree,1271795,0,0.56,1,0,0,0
coconut_tree,1276183,0,0.37,0,1,1,1
coconut_tree,1276183,1,0.16,0,0,0,0
coconut_tree,1276183,2,0.11,0,0,0,0
coconut_tree,1276183,3,0.08,1,0,0,0
coconut_tree,1276183,4,0.07,1,0,0,1
coconut,9255115,,,,,,
coconut,1838130,,,,,,
coconut,3860847,0,0.11,0,,,
coconut,14162815,,,,,,
coconut,17833889,,,,,,
j5,j5index0,0,0.20,0,1,0,0
j5,j5index1,0,0.29,0,1,0,0
j5,j5index2,0,0.47,0,1,0,0
j5,j5index3,0,0.10,1,1,0,0
j5,j5index4,0,0.11,1,1,1,1
j5,j5index4,1,0.07,1,1,0,0
j5,j5index4,2,0.06,1,1,1,1
